"mv a7, a0",IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mv a0, a3",,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"beqz a7, _label72",,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"beqz a1, _label80",,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"beqz a2, _label80",,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,
"blez a3, _label84",,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,
"mv a5, a7",,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,
"sllii a4, a3, 2",,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,
"add a7, a7, a4",,,,,,,,,IF,ID,EX,MEM,WB,,Forwarding: a4 from stage EX,,,,,,,,,,,,,,,,,,,,,
"lw a4, 0(a5)",,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,
"lw a6, 0(a1)",,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,
"add a4, a4, a6",,,,,,,,,,,,IF,ID,ID,EX,MEM,WB,,Stalling: a4 and a6 are not yet loaded,,,,,,,,,,,,,,,,,
"sw a4, 0(a2)",,,,,,,,,,,,,IF,IF,ID,EX,MEM,WB,,Stalling: a6 is not yet loaded,,,,,,,,,,,,,,,,
"addi a5, a5, 4",,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,
"addi a1, a1, 4",,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,
"addi a2, a2, 4",,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,
"bne a5, a7, _loop",,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,Flush: branch is taken,,,,,,,,,,,,
"ret",,,,,,,,,,,,,,,,,,,IF,ID,xx,xx,xx,,,,,,,,,,,,,
"li a0, -1",,,,,,,,,,,,,,,,,,,,IF,xx,xx,xx,xx,,,,,,,,,,,,
"lw a4, 0(a5)",,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,
"lw a6, 0(a1)",,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,
"add a4, a4, a6",,,,,,,,,,,,,,,,,,,,,,,IF,ID,ID,EX,MEM,WB,,Stalling: a4 and a6 are not yet loaded,,,,,,
"sw a4, 0(a2)",,,,,,,,,,,,,,,,,,,,,,,,IF,IF,ID,EX,MEM,WB,,Stalling: a6 is not yet loaded,,,,,
"addi a5, a5, 4",,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,
"addi a1, a1, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,
"addi a2, a2, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,
"bne a5, a7, _loop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,
"ret",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,Flush: branch is taken
"li a0 ,  -1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,xx,xx,xx,
"ret",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,xx,xx,xx,xx
